Id do Solicitante,Categoria do Pedido ,Tipo de resposta
0,Recursos humanos em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Educacao basica,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Legislacao trabalhista,Acesso Concedido
0,Educacao superior,Acesso Parcialmente Concedido
0,Governo eletronico,Acesso Concedido
0,Gestao escolar,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Transito,Acesso Negado
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Educacao superior,Acesso Concedido
0,Administracao publica,Acesso Negado
0,Encargos financeiros,Acesso Concedido
0,Financas,Acesso Parcialmente Concedido
0,Administracao publica,Acesso Concedido
0,Financas,Acesso Concedido
0,Politica trabalhista,Acesso Concedido
0,Transporte aquaviario,Acesso Negado
0,Administracao financeira,Acesso Negado
0,Recursos energeticos,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Politica,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Relacoes diplomaticas,Acesso Concedido
0,Fiscalizacao do estado,Acesso Concedido
0,Gestao escolar,Acesso Negado
0,Administracao publica,Acesso Concedido
0,Politica trabalhista,Acesso Concedido
0,Participacao e controle social em saude,Acesso Negado
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Transporte rodoviario,Acesso Concedido
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Gestao escolar,Acesso Concedido
0,Financas,Acesso Concedido
0,Financas,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Financas,Acesso Concedido
0,Orcamento de saude,Acesso Concedido
0,Financas,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Politica trabalhista,Acesso Concedido
0,Politica trabalhista,Acesso Concedido
0,Transito,Acesso Negado
0,Financas,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Economia,Acesso Concedido
0,Administracao publica,Acesso Negado
0,Administracao publica,Acesso Concedido
0,Transporte aereo,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Profissoes e ocupacoes,Acesso Concedido
0,Recursos energeticos,Acesso Negado
0,Politica trabalhista,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Legislacao trabalhista,Acesso Negado
0,Economia,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Transporte aquaviario,Acesso Negado
0,Seguranca Nacional,Acesso Negado
0,Seguranca Nacional,Acesso Concedido
0,Financas,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Legislacao e jurisprudencia,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Sistema de saude,Acesso Concedido
0,Transporte ferroviario,Acesso Concedido
0,Financas,Acesso Concedido
0,Administracao publica,Acesso Negado
0,Educacao superior,Acesso Negado
0,Educacao superior,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Educacao à distancia,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Politica trabalhista,Acesso Negado
0,Recursos humanos em saude,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Financas,Acesso Negado
0,Financas,Acesso Negado
0,Administracao publica,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Legislacao trabalhista,Acesso Parcialmente Concedido
0,Legislacao trabalhista,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Financas,Acesso Negado
0,Educacao superior,Acesso Concedido
0,Orcamento de saude,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Transporte aereo,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Profissionais da educacao,Acesso Parcialmente Concedido
0,Transporte rodoviario,Acesso Concedido
0,Financas,Acesso Concedido
0,Vigilancia sanitaria,Acesso Concedido
0,Financas,Acesso Concedido
0,Administracao publica,Acesso Negado
0,Participacao e controle social em saude,Acesso Concedido
0,Defesa Nacional,Acesso Parcialmente Concedido
0,Politica trabalhista,Acesso Negado
0,Profissoes e ocupacoes,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Mercado de trabalho,Acesso Concedido
0,Vigilancia sanitaria,Acesso Concedido
0,Politica trabalhista,Acesso Concedido
0,Seguranca Nacional,Acesso Concedido
0,Financas,Acesso Negado
0,Educacao superior,Acesso Concedido
0,Financas,Acesso Concedido
0,Financas,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Financas,Acesso Concedido
0,Financas,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Politica,Acesso Negado
0,Seguranca publica,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Mercado de trabalho,Acesso Concedido
0,Participacao e controle social em saude,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Vigilancia sanitaria,Acesso Concedido
0,Vigilancia sanitaria,Acesso Concedido
0,Vigilancia sanitaria,Acesso Concedido
0,Financas,Acesso Negado
0,Financas,Acesso Concedido
0,Seguranca publica,Acesso Concedido
0,Financas,Acesso Concedido
0,Recursos energeticos,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Administracao publica,Acesso Concedido
0,Economia,Acesso Concedido
0,Educacao superior,Acesso Concedido
0,Profissionais da educacao,Acesso Concedido
0,Recursos humanos em saude,Acesso Concedido
0,Administracao publica,Acesso Parcialmente Concedido
0,Seguranca Nacional,Acesso Concedido
0,Mercado de trabalho,Acesso Parcialmente Concedido
