IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
198;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;DF
211;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;DF
229;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;RJ
237;Pessoa Fisica;Masculino;Mestrado/Doutorado;Pesquisador;SP
289;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;CE
350;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;RJ
735;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;MS
1013;Pessoa Fisica;Masculino;Mestrado/Doutorado;Jornalista;DF
1030;Pessoa Fisica;Feminino;Ensino Superior ;Jornalista;DF
1048;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;DF
1105;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;GO
1117;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;SC
1237;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;DF
1243;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico federal;MG
1260;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;GO
1308;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;SP
1382;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1642;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;DF
1661;Pessoa Fisica;Masculino;Mestrado/Doutorado;Pesquisador;RS
1678;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;DF
1794;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1813;Pessoa Fisica;Feminino;Ensino Medio;Estudante;SP
1889;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;PA
1930;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;MA
2017;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;CE
2163;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;DF
2227;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;DF
2235;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;MT
