IdSolicitante,TipoDemandante,Sexo,Escolaridade,Profissao,UF
198,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,DF
211,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,DF
229,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,RJ
237,Pessoa Física,Masculino,Mestrado/Doutorado,Pesquisador,SP
289,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,CE
350,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,RJ
735,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,MS
1013,Pessoa Física,Masculino,Mestrado/Doutorado,Jornalista,DF
1030,Pessoa Física,Feminino,Ensino Superior ,Jornalista,DF
1048,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,DF
1105,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,GO
1117,Pessoa Física,Masculino,Ensino Superior ,Jornalista,SC
1237,Pessoa Física,Masculino,Ensino Superior ,Jornalista,DF
1243,Pessoa Física,Feminino,Pós-graduação,Servidor público federal,MG
1260,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,GO
1308,Pessoa Física,Masculino,Ensino Superior ,Jornalista,SP
1382,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,SP
1642,Pessoa Física,Masculino,Ensino Superior ,Jornalista,DF
1661,Pessoa Física,Masculino,Mestrado/Doutorado,Pesquisador,RS
1678,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,DF
1794,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,SP
1813,Pessoa Física,Feminino,Ensino Médio,Estudante,SP
1889,Pessoa Física,Masculino,Mestrado/Doutorado,Servidor público federal,PA
1930,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,MA
2017,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,CE
2163,Pessoa Física,Masculino,Ensino Superior ,Jornalista,DF
2227,Pessoa Física,Masculino,Ensino Superior ,Jornalista,DF
